"260"	6180
"79132"	4767
"296"	4767
"109487"	3616
"2959"	3612
"318"	3597
"2571"	3573
"356"	2701
"4226"	2601
"7361"	2533
"593"	2482
"4878"	2417
"4973"	2226
"48780"	2126
"115713"	2115
"72998"	2105
"541"	2081
"58559"	1956
"47"	1947
"2858"	1904
"68237"	1875
"74458"	1862
"164179"	1788
"44191"	1778
"5618"	1769
"924"	1749
"68157"	1657
"1206"	1645
"122882"	1643
"3949"	1637
"70286"	1636
"106920"	1628
"4993"	1605
"1214"	1560
"81591"	1546
"48394"	1538
"1527"	1538
"50"	1523
"527"	1488
"32"	1485
"1704"	1473
"116797"	1464
"109374"	1447
"32587"	1425
"6874"	1413
"4848"	1389
"4995"	1388
"89745"	1382
"134130"	1381
"106782"	1336
"55820"	1323
"99114"	1320
"104841"	1317
"7153"	1314
"1732"	1303
"60069"	1283
"1682"	1276
"48516"	1272
"122912"	1271
"2762"	1255
"858"	1233
"88129"	1220
"6711"	1217
"112556"	1207
"4011"	1205
"27773"	1194
"1089"	1191
"1653"	1186
"60684"	1172
"5952"	1169
"1258"	1151
"48774"	1139
"79702"	1134
"176371"	1118
"111759"	1112
"293"	1105
"94959"	1100
"1196"	1089
"71535"	1086
"68358"	1086
"8874"	1057
"6539"	1054
"122886"	1049
"69757"	1042
"112552"	1042
"1265"	1035
"778"	1022
"3578"	1018
"94864"	1014
"79357"	1012
"1203"	1012
"608"	1009
"56367"	1008
"57669"	1001
"8914"	993
"1748"	990
"112183"	990
"1136"	983
"1270"	975
"589"	969
"112852"	969
"85414"	967
"59315"	967
"2028"	967
"122904"	966
"91529"	964
"93840"	959
"1197"	957
"46578"	956
"182715"	954
"7147"	948
"111"	942
"1213"	938
"34405"	934
"68954"	931
"2997"	928
"1198"	928
"480"	919
"48043"	914
"1200"	913
"96610"	912
"101864"	911
"2329"	908
"1199"	895
"97752"	894
"63082"	893
"80463"	890
"1625"	888
"1193"	887
"33794"	876
"6942"	871
"5989"	866
"1584"	863
"1210"	863
"5418"	858
"56174"	855
"110"	852
"7254"	845
"1721"	844
"55247"	843
"140956"	841
"119145"	841
"51662"	834
"6016"	833
"4963"	833
"115149"	829
"39183"	820
"81845"	815
"134853"	808
"168250"	802
"7438"	801
"92259"	800
"55908"	797
"3000"	795
"750"	789
"2502"	781
"1240"	778
"5445"	776
"6502"	774
"86332"	773
"187593"	772
"8950"	769
"148626"	767
"98809"	765
"91500"	765
"51255"	764
"86882"	755
"8644"	750
"1246"	748
"104879"	745
"31658"	736
"179819"	736
"107406"	733
"2291"	732
"128360"	729
"185029"	728
"1921"	726
"3535"	722
"139385"	719
"1208"	713
"46976"	708
"4979"	704
"115569"	703
"122906"	701
"73321"	699
"73017"	697
"1"	697
"77561"	695
"166528"	692
"5971"	691
"177593"	691
"51540"	689
"780"	686
"44555"	686
"84152"	680
"64614"	680
"103228"	677
"3147"	673
"102125"	672
"96821"	669
"4720"	668
"180031"	666
"5903"	665
"904"	664
"1219"	660
"2324"	658
"1617"	658
"6870"	652
"69122"	650
"1036"	650
"2288"	649
"133771"	645
"1201"	640
"1080"	639
"164909"	637
"59369"	634
"54259"	634
"54503"	630
"66097"	629
"50872"	629
"30810"	626
"97921"	622
"6"	621
"4896"	620
"97938"	615
"76251"	613
"6377"	608
"4262"	608
"364"	607
"6365"	606
"551"	605
"8957"	604
"54286"	603
"2628"	603
"1274"	600
"56782"	599
"38061"	599
"142488"	599
"122916"	599
"912"	598
"4306"	598
"5995"	597
"52328"	597
"64957"	594
"2692"	594
"1222"	594
"91658"	591
"171763"	589
"4975"	586
"2916"	586
"2712"	585
"86320"	584
"103253"	584
"8961"	582
"7099"	582
"6934"	582
"166635"	581
"82461"	580
"33004"	580
"30707"	577
"5902"	576
"1291"	575
"114935"	574
"74789"	573
"115617"	570
